,name,url,file_size
0,w2v,https://www.dropbox.com/s/965dir4dje0hfi4/GoogleNews-vectors-negative300.bin.gz?dl=1,1647046227.0
1,words_google_news,https://www.dropbox.com/s/9pm0js9qdjr04jy/words_google_news.txt.gz?dl=1,3015517.0
2,glove_twitter,https://nlp.stanford.edu/data/glove.twitter.27B.zip,1520408563.0
3,glove_small,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
4,glove_large,https://nlp.stanford.edu/data/glove.840B.300d.zip,2176768927.0
5,glove_medium,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
6,slang,https://www.dropbox.com/s/43c22018fbfzypd/slang.csv.gz?dl=1,117633024.0
7,tweets,https://www.dropbox.com/s/5gpb43c494mc8p0/tweets.csv.gz?dl=1,311725313.0
8,crimedata,https://www.dropbox.com/s/mg4yokpifu3n6u5/crimedata.csv.gz?dl=1,2126689.0
9,cities,https://www.dropbox.com/s/tcri5eyzpabhnyy/cities.csv.gz?dl=1,8396891.0
10,cities_us_wordvectors,https://www.dropbox.com/s/7ujezmo03b637q3/cities_us_wordvectors.csv.gz?dl=1,8451128.0
11,dialog,https://www.dropbox.com/s/5543bkihxflzry9/dialog.csv.gz?dl=1,4415234.0
12,cornellmovies,http://www.cs.cornell.edu/~cristian/data/cornell_movie_dialogs_corpus.zip,9916637.0
13,save_dialog_tweets,https://www.dropbox.com/s/tlrr9bm45uzm9yl/save_dialog_tweets.txt.gz?dl=1,4517000.0
14,lsa_tweets,https://www.dropbox.com/s/rpjt0d060t4n1mr/lsa_tweets_5589798_2003588x200.tar.gz?dl=1,3112841563.0
15,lsa_tweets_pickle,https://www.dropbox.com/s/7k0nvl2dx3hsbqp/lsa_tweets_5589798_2003588x200.pkl.projection.u.npy?dl=1,2900000000.0
16,ubuntu_dialog_1500k,https://www.dropbox.com/s/krvi79fbsryytc2/ubuntu_dialog_1500k.csv.gz?dl=1,296098788.0
17,ubuntu_dialog_test,https://www.dropbox.com/s/47mqbx0vgynvnnj/ubuntu_dialog_test.csv.gz?dl=1,31273.0
18,imdb,https://www.dropbox.com/s/yviic64qv84x73j/aclImdb_v1.tar.gz?dl=1,84125825.0
19,imdb_test,https://www.dropbox.com/s/cpgrf3udzkbmvuu/aclImdb_test.tar.gz?dl=1,10858.0
20,alice,https://storage.googleapis.com/google-code-archive-downloads/v2/code.google.com/aiml-en-us-foundation-alice/aiml-en-us-foundation-alice.v1-9.zip,8249482.0
21,cdc,https://www.cdc.gov/brfss/annual_data/2016/files/LLCP2016ASC.zip,52284490.0
22,cdc11,https://www.cdc.gov/brfss/annual_data/2011/files/LLCP2011ASC.zip,
23,cdc12,https://www.cdc.gov/brfss/annual_data/2012/files/LLCP2012ASC.zip,
24,cdc13,https://www.cdc.gov/brfss/annual_data/2013/files/LLCP2013ASC.zip,
25,cdc14,https://www.cdc.gov/brfss/annual_data/2014/files/LLCP2014ASC.zip,
26,cdc15,https://www.cdc.gov/brfss/annual_data/2015/files/LLCP2015ASC.zip,
27,cdc16,https://www.cdc.gov/brfss/annual_data/2016/files/LLCP2016ASC.zip,
28,cornell,http://www.cs.cornell.edu/~cristian/data/cornell_movie_dialogs_corpus.zip,9916637.0
29,cornellmoviedialog,http://www.cs.cornell.edu/~cristian/data/cornell_movie_dialogs_corpus.zip,9916637.0
30,cornellmoviedialogs,http://www.cs.cornell.edu/~cristian/data/cornell_movie_dialogs_corpus.zip,9916637.0
31,cornell_movie_dialog,http://www.cs.cornell.edu/~cristian/data/cornell_movie_dialogs_corpus.zip,9916637.0
32,cornell_movie_dialogs,http://www.cs.cornell.edu/~cristian/data/cornell_movie_dialogs_corpus.zip,9916637.0
33,cornell_movie_dialog_corpus,http://www.cs.cornell.edu/~cristian/data/cornell_movie_dialogs_corpus.zip,9916637.0
34,cornell_movie_dialogs_corpus,http://www.cs.cornell.edu/~cristian/data/cornell_movie_dialogs_corpus.zip,9916637.0
35,word2vec,https://www.dropbox.com/s/965dir4dje0hfi4/GoogleNews-vectors-negative300.bin.gz?dl=1,1647046227.0
36,wv,https://www.dropbox.com/s/965dir4dje0hfi4/GoogleNews-vectors-negative300.bin.gz?dl=1,1647046227.0
37,glove,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
38,glovesm,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
39,glove-sm,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
40,glove_sm,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
41,glove-small,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
42,ubuntu,https://www.dropbox.com/s/krvi79fbsryytc2/ubuntu_dialog_1500k.csv.gz?dl=1,296098788.0
43,ubuntu_dialog,https://www.dropbox.com/s/krvi79fbsryytc2/ubuntu_dialog_1500k.csv.gz?dl=1,296098788.0
44,glovelg,https://nlp.stanford.edu/data/glove.840B.300d.zip,2176768927.0
45,glove_lg,https://nlp.stanford.edu/data/glove.840B.300d.zip,2176768927.0
46,glove-lg,https://nlp.stanford.edu/data/glove.840B.300d.zip,2176768927.0
47,glove-large,https://nlp.stanford.edu/data/glove.840B.300d.zip,2176768927.0
48,glovemed,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
49,glove_med,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
50,glove-med,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
51,glove-medium,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
52,glovesm50,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
53,glove-sm50,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
54,glove_sm50,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
55,glove-small50,https://nlp.stanford.edu/data/glove.6B.zip,862182613.0
56,glovemed50,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
57,glove-med50,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
58,glove_med50,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
59,glove-medium50,https://nlp.stanford.edu/data/glove.42B.300d.zip,1877800501.0
60,glovelg50,https://nlp.stanford.edu/data/glove.840B.300d.zip,2176768927.0
